,title,writer,date
0,[글로컬사회혁신원 사회봉사단] 2022학년도 하계 국내봉사대 발대식 및 기타안내,사회봉사단,2022.05.10
1,2022학년도 SU 비교과 프로그램 가이드북,비교과통합센터,2022.05.03
2,[글로컬사회혁신원 사회봉사단] 2022년 42기 WFK 청년봉사단 온라인 국외봉사 단원 추천자 모집 안내,사회봉사단,2022.04.25
3,4학년 1학기 재학생 채플 출석 인정안내(1회만 인정),교목처,2022.04.07
4,[글로컬사회혁신원 사회봉사단] 2022학년도 하계 국내봉사대 모집 공고,사회봉사단,2022.04.06
5,2022년 8월 우등졸업 및 조기졸업 신청안내,학사지원팀,2022.04.01
6,[글로컬사회혁신원 사회봉사단] 2022학년도 대학생 재능봉사캠프 사전 수요조사 신청 안내,사회봉사단,2022.03.31
7,[글로컬사회혁신원 사회봉사단] 2022학년도 1학기 정규 지역사회공헌 교과목 이수 안내,사회봉사단,2022.01.21
8,학자금 중복지원 방지제도 안내,학생처,2020.11.27
9,2022년 내국인 재ㆍ휴학생 대상 2022년 상반기 국제학생증ISIC 발급비 지원 행사 공고,학생처,2022.05.09
10,[혁신/글로컬사회혁신원 리더십센터] '마을' 어플리케이션 출시 이벤트 안내,인성교육원,2022.05.09
11,[교육혁신원](혁신)2022-1 전공학습 레시피 공모전 참여 안내,교육혁신원,2022.05.04
12,[글로컬사회혁신원 리더십센터] 콘서바토리 연습실 이용방법,인성교육원,2022.04.26
13,[글로컬사회혁신원 리더십센터] HOPE CAMP 참여학생 모집,인성교육원,2022.04.25
14,2022-1학기 중간고사 및 성적평가 방법 안내,학사지원팀,2022.04.19
15,2022학년도 1학기  스쿨버스 서울방향 노선 변경 안내문,학생처,2022.04.19
16,2022-하계 계절학기 학점교류대학 수강신청 일정 안내,학사지원팀,2022.04.19
17,2022년 1학기 중간고사기간 도서관 24시간 개방 안내,학생처,2022.04.18
18,2022년 1학기 중간고사 기간 중 스쿨버스 운행 안내,학생처,2022.04.18
19,교원자격무시험검정원서 제출 안내,학사지원팀,2022.04.18
20,2022-1 중간 강의평가 실시 안내,교수지원팀,2022.04.11
21,"[IR센터] 2022년 핵심역량 진단검사 기간 연장(~4월15일, 금)",suir,2022.04.11
22,[글로컬사회혁신원 리더십센터/혁신] 2022 삼육마을 프로젝트 서포터즈 1차 선발 결과 안내,인성교육원,2022.04.06
23,2022-1 온라인 강의 만족도 조사 안내,원격교육지원센터,2022.04.04
